reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
e97c6df8-c1cc-4712-ac61-5429a8e83382,Brandon Matsuib,https://play-lh.googleusercontent.com/a-/ALV-UjWR9e_7sAQ4ml1zKaudnJPMekUfbCbIo4YNxKBfgNmVRH7YOTLE,Great keep up the excellent work!! Responses are well articulated and structured.,5,0,1.260202.27,2026-02-03 23:16:33,,,1.260202.27,Claude
2e9c58cd-20f1-4433-8bf2-8d34f79ea0d0,Mir You,https://play-lh.googleusercontent.com/a/ACg8ocI__ElpQgG9SyPrZwLINljEfBFLwsatSHHaKMg-ZI8XYWNAew=mo,great just great. i don't have words,5,0,1.260126.27,2026-02-03 22:59:32,,,1.260126.27,Claude
dd64cead-df72-4b1b-a87f-e9bdd1a92e0b,Waqas Ahmed,https://play-lh.googleusercontent.com/a/ACg8ocL3igrLvWhw7sObfRRayOzlZE72RRhiQPlamC5JcQ2OTtx8HEQ=mo,"Feels like human, and has a very solid response on this compared to other AIs.",5,0,1.260202.27,2026-02-03 22:54:37,,,1.260202.27,Claude
ebb7d7b4-416a-4b49-b0f0-0d3a0dad5b9c,mohit kumar,https://play-lh.googleusercontent.com/a-/ALV-UjX_zTHGPS50gqa4xnNWw-8DR5w99nF4fzKAqWS9FsfkpwxVOi2t,मुझे मेरी पढ़ाई में मदद के लिए बहुत सहयोग milta hai,5,0,1.260202.27,2026-02-03 21:59:02,,,1.260202.27,Claude
a598b6b8-8cb9-4413-a91e-d2484647c509,NicsGranger,https://play-lh.googleusercontent.com/a-/ALV-UjVB2Q-hGw3qv4I9L1XcntxykEA3CaNcoVYsQHfgYxAppCOllZ4,this ai got some internalized misogyny,5,0,1.260126.27,2026-02-03 21:52:10,,,1.260126.27,Claude
f14d61df-c12d-4fce-997c-f2c8dea34d6f,Vlad Lasky,https://play-lh.googleusercontent.com/a/ACg8ocIqaB9QM0I0XkyP_o41DQ0VgjbDCue4u2VfqLT9vRi97N-ung=mo,Please add conversation branching. This is a crucial feature that your major competitor has.,4,0,1.260202.27,2026-02-03 21:46:53,,,1.260202.27,Claude
210c4f7b-19b6-4e1e-830c-ae63df5696f8,Vahed noor Qureshi,https://play-lh.googleusercontent.com/a/ACg8ocKxC5Y8hJG2X-PvL-DU4e8o7fWYx_NL1_5c9eOtQRpnE2XttA=mo,most human like feeling while chatting and please give us voice mode like gemini,5,0,1.260126.27,2026-02-03 20:55:04,,,1.260126.27,Claude
e14704e9-cbd8-4e63-a1f9-f1d5e172cfaf,Saaka Abu Firdaus,https://play-lh.googleusercontent.com/a-/ALV-UjWtktsERQYFD2ECyHe8V4_D4vXeVa1A6sy2Lrc0fnlzEUiPiLLR,I love Claude because it does not 'spin' you around like some AI models. Claude is direct and straightforward. It is especially good for Software Developers,5,0,1.260202.27,2026-02-03 20:35:30,,,1.260202.27,Claude
4cb56a19-3c9a-435d-8cc2-8b7f8414827c,Abdul Ali23,https://play-lh.googleusercontent.com/a/ACg8ocL54fFr0eWMLRe2Ueb9vgJOBoUtb4JYkgQS7Tio37ZlEY_LTg=mo,This app doesn't download,3,0,,2026-02-03 20:31:49,,,,Claude
5cb694b3-788a-46cb-abbf-75146e0db375,Vin,https://play-lh.googleusercontent.com/a/ACg8ocJPO8gemx8xTTuVyus1YShWGL32BtTMRbLH9xf29HmtUzD-0A=mo,photo edits ..horrible.,1,0,1.260126.27,2026-02-03 20:30:48,,,1.260126.27,Claude
dbcc55ed-0d4d-4b9e-9657-8193d84049a5,Marinela Mella Luken Pezer,https://play-lh.googleusercontent.com/a-/ALV-UjVEtmxN9EoGgYVAzwRHfg0vR-XzwoYE0mrmDsvXPAk2nNE5NGs,Logic and smart,5,0,,2026-02-03 20:27:22,,,,Claude
c13c2421-87ea-47ce-9c24-ee1e1de0466f,Jun Jie Gai,https://play-lh.googleusercontent.com/a/ACg8ocJBHhme8ScwuhdkM9yp47RbsOxkA0N5pvqOpj92nRC22RILmw=mo,"this ai is amazing( top tier) a far better alternative than meta ai. this ai has helped me in many of my journeys, mostly school. so the only thing I have to say is that claude is goated",4,0,,2026-02-03 20:19:26,,,,Claude
